"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1974063382677594125","Fri Oct 03 10:46:01 +0000 2025","136","Badan Gizi Nasional (BGN) mengungkapkan insiden keamanan pangan yang serupa dengan keracunan pada program Makan Bergizi Gratis (MBG) tidak hanya terjadi di Indonesia. Baca di sini: https://t.co/xVXTRSziRt ~TA #MakanBergiziGratis #Keracunan #BGN https://t.co/Tj484JttbK","1974063382677594125","https://pbs.twimg.com/media/G2VILfdbMAMSCVk.jpg","","in","","141","362","40","https://x.com/undefined/status/1974063382677594125","23343960",
"2048568169401577814","Mon Apr 27 01:01:26 +0000 2026","8349","Balita berumur 2 th meninggal dunia setelah mengkonsumsi MBG. Diketahui 63 balita dan ibu mengalami keracunan usai menyantap Makan Bergizi Gratis (MBG) di dua desa di Kecamatan Leles Cianjur. Sebagian besar kembali pulih tinggal beberapa orang masih menjalani perawatan https://t.co/uP50mpk7Dx","2048568169401577814","https://pbs.twimg.com/ext_tw_video_thumb/2048567972101529600/pu/img/DRug8iJ0jWSLgqe8.jpg","","in","","149","209","4457","https://x.com/undefined/status/2048568169401577814","1100609875",
"2065660433974063442","Sat Jun 13 05:00:00 +0000 2026","57","Anggota Komisi XIII DPR RI Fraksi PDI Perjuangan Rieke Diah Pitaloka menegaskan Perpres 83 tahun 2024 tentang Badan Gizi Nasional (BGN) dan Perpres 155 tahun 2025 tentang Tata Kelola Penyelenggaraan Program Makan Bergizi Gratis (MBG) berpotensi membuka celah korupsi. Saya ingin https://t.co/xHUwb5Nlje","2065660433974063442","https://pbs.twimg.com/amplify_video_thumb/2065644507836915712/img/drSXi2ov58sSL26V.jpg","","in","","3","9","26","https://x.com/undefined/status/2065660433974063442","153407983",
"1970806096026857517","Wed Sep 24 11:02:43 +0000 2025","790","Situasi Kantor Kecamatan Cipongkor Kabupaten Bandung Barat yang dijadikan posko kesehatan dipenuhi siswa korban keracunan Makan Bergizi Gratis (MBG) Rabu 24 September 2025. Diketahui hari ini kasus keracunan MBG kembali terjadi di Cipongkor yang menimpa sejumlah siswa SMK https://t.co/6paU3rkLaK","1970806096026857517","https://pbs.twimg.com/ext_tw_video_thumb/1970805965424562176/pu/img/p7yoSE_ooF88vNnD.jpg","","in","","29","72","394","https://x.com/undefined/status/1970806096026857517","785145642",
"1918330640443031908","Fri May 02 15:44:00 +0000 2025","33","MAKAN BERGIZI GRATIS KERACUNAN. Dalam sembilan hari terakhir di Jawa Barat terjadi dua kasus keracunan masal di tiga sekolah yang mengikuti program Makan Bergizi Gratis. Peristiwa terkini menimpa 342 siswa SMPN 35 Bandung. https://t.co/hsyTd4gKml","1918330640443031908","https://pbs.twimg.com/ext_tw_video_thumb/1918330590237196288/pu/img/aO7KGtG7M1zPucYb.jpg","","in","","0","4","18","https://x.com/undefined/status/1918330640443031908","1040306964100669440",
"1971206483720405358","Thu Sep 25 13:33:43 +0000 2025","108","Kasus Ker4cunan Program Makan Bergizi Gratis Kembali Terjadi di Subang dan Sumedang Kasus keracunan akibat program Makan Bergizi Gratis (MBG) kembali terjadi di Jawa Barat Kamis (25/9/2025). Subang Sebanyak sembilan siswa SDN Rawalele Kecamatan Dawuan mengalami gejala https://t.co/l6Y8Yr164R","1971206483720405358","https://pbs.twimg.com/ext_tw_video_thumb/1971206428322062336/pu/img/1zB4amKDQEKiK5IF.jpg","","in","","5","10","84","https://x.com/undefined/status/1971206483720405358","1282751327588585473",
"1970299496551928182","Tue Sep 23 01:29:41 +0000 2025","300","infojawabarat. Dinas Kesehatan (Dinkes) Kabupaten Bandung Barat (KBB) menyatakan jumlah kasus pelajar keracunan Makan Bergizi Gratis (MBG) di Kecamatan Cipongkor KBB sementara mencapai 75 orang. Atas peristiwa ini Pemkab KBB segera menetapkan status Kejadian Luar Biasa (KLB). https://t.co/566jGqNY7b","1970299496551928182","https://pbs.twimg.com/ext_tw_video_thumb/1970299407146041344/pu/img/d3ZMRDVAZYXaUH8O.jpg","","in","","11","36","192","https://x.com/undefined/status/1970299496551928182","1040306964100669440",
"1915227302050554092","Thu Apr 24 02:12:26 +0000 2025","20","Daftar Kasus Dugaan Keracunan Makan Bergizi Gratis Warganet: Masih Mau Dilanjut? https://t.co/phhaGZcUhi","1915227302050554092","","","in","","0","1","11","https://x.com/undefined/status/1915227302050554092","3319260420",
"1988117552141320217","Tue Nov 11 05:32:16 +0000 2025","88","TIADA HARI TANPA JATUH KORBAN KERACUNAN MBG 10 November 2025 Sebanyak 80 siswa SMA Manda Elu Kabupaten Sumba Barat Daya keracunan Makan Bergizi Gratis yang dikonsumsi anak-anak pada Senin (10/11/2025) sekitar pukul 13.30 WITA https://t.co/7nnWNe2VIY","1988117552141320217","https://pbs.twimg.com/amplify_video_thumb/1988117221080793088/img/57oALhcxtAKZ8Buf.jpg","","in","","6","36","49","https://x.com/undefined/status/1988117552141320217","1178950184601935873",
"1824344741208584622","Fri Aug 16 07:30:18 +0000 2024","2","25. Makan Bergizi Gratis diarahkan untuk: meningkatkan gizi anak sekaligus memberdayakan UMKM &amp; meningkatkan ekonomi masyarakat kecil di daerah. #PidatoRAPBN2025 NusantaraBaru","1824347940275753432","","DKIJakarta","in","","0","1","10","https://x.com/undefined/status/1824347940275753432","166014938",
